CONFIG:STOCK, STANDALONE

IMAGE
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.209024, , , 
70, 0.289223, , , 
100, 0.388000, , , 
200, 0.724402, , , 
400, 1.413577, , , 
800, 2.749644, , , 

PAGER
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 1.85681, , , 
70, 2.60954, , , 
100, 3.53016, , , 
200, 6.56152, , , 
400, 12.6134, , , 
800, 24.7664, , , 

RTB
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.073681, , , 
70, 0.103695, , , 
100, 0.140385, , , 
200, 0.260795, , , 
400, 0.501874, , , 
800, 0.985305, , , 

STRM
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.246889, , , 
70, 0.351491, , , 
100, 0.485163, , , 
200, 0.899354, , , 
400, 1.727661, , , 
800, 3.407265, , , 
