
"RTB Lookup rate (ops/sec) - arm_32_sft1_h50.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 50%
0.10, 5012957.274583
0.20, 4949119.577951
0.30, 4853412.949332
0.40, 4711788.407853
0.50, 4500818.476079
0.60, 4178111.833725
0.70, 3657438.190447
0.80, 2794110.016602
0.90, 1549259.615039

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 50%
0.10, 6186421.565314
0.20, 6013334.476355
0.30, 5834002.181176
0.40, 5674215.496959
0.50, 5428139.600260
0.60, 5054595.266838
0.70, 4467518.438708
0.80, 3429180.711774
0.90, 1886010.584651

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 50%
0.10, 3173886.024008
0.20, 3141160.434637
0.30, 3084033.420527
0.40, 2989858.034041
0.50, 2837377.845392
0.60, 2595624.064796
0.70, 2210318.665334
0.80, 1608849.003985
0.90, 833409.614307

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 50%
0.10, 4310583.982733
0.20, 4164882.541254
0.30, 4026160.317303
0.40, 3900019.924531
0.50, 3697747.291235
0.60, 3383306.630464
0.70, 2893073.234221
0.80, 2093671.358856
0.90, 1059862.829277
