
"RTB Lookup rate (ops/sec) - arm_32_stl1.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 5853733.216389, 3233963.522182, 5339063.990511, 4921958.150518, 4550263.829378, 4256927.235558, 3985271.402275, 3766373.651368, 3570203.787114, 3387262.113161
0.20, 5057467.995401, 3151416.919369, 4683750.387661, 4392311.212425, 4139653.623636, 3923934.566362, 3745917.768034, 3561907.708195, 3419358.685581, 3270369.935857
0.30, 4425817.955255, 3083204.814778, 4191205.438759, 4018530.752725, 3814014.816805, 3657147.274984, 3522223.890595, 3390910.748439, 3292791.575977, 3172654.763853
0.40, 3971096.458312, 3020281.449310, 3818507.792234, 3676437.418977, 3551475.322896, 3439797.798322, 3354421.298649, 3250552.670822, 3161976.938009, 3083513.088680
0.50, 3615870.483668, 2962227.751012, 3546241.105517, 3418599.540986, 3355852.950395, 3267942.490461, 3184993.403037, 3117183.709870, 3061009.206545, 3006173.499035
0.60, 3340062.678513, 2906297.826184, 3269591.132912, 3195829.560923, 3145745.697834, 3104159.875964, 3041050.971484, 3000942.462868, 2978700.965185, 2937865.842709
0.70, 3092418.767189, 2852665.926539, 3087062.574578, 3021181.316416, 2984276.493773, 2945213.274518, 2941299.258900, 2915099.705431, 2885383.692796, 2862406.487710

"Memory Latency: 085,106 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 8292177.890972, 4840788.296913, 7494965.426334, 6868870.693851, 6350658.336399, 5976499.520555, 5649559.726366, 5371593.947691, 5163322.359461, 4977281.602713
0.20, 7023902.133466, 4574524.858654, 6392706.471261, 5966102.056152, 5633572.404977, 5391216.825777, 5131722.365905, 4939317.100369, 4790470.351881, 4650081.046886
0.30, 6092001.138192, 4369548.700133, 5621054.573445, 5310205.151455, 5110963.737167, 4877550.885197, 4758283.435326, 4619705.292390, 4496684.006643, 4394546.357263
0.40, 5374896.654082, 4281326.830927, 5094080.936087, 4938968.563362, 4708056.670640, 4574922.671592, 4504810.038535, 4413109.334509, 4316233.152942, 4287566.549511
0.50, 4852431.462237, 4197295.002244, 4645105.960253, 4552973.275788, 4389931.914117, 4293744.362481, 4252978.251376, 4177644.500949, 4167630.011817, 4162152.224651
0.60, 4510845.535092, 4102033.138832, 4381082.022229, 4264466.584061, 4138373.987843, 4109074.536129, 4026752.392211, 4009699.732384, 4003624.039742, 4041905.268457
0.70, 4203379.440753, 4012987.043114, 4091019.288811, 3992790.749275, 3947387.722070, 3902803.073743, 3858568.043256, 3885966.172920, 3871254.118665, 3908878.550575

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 2993905.567086, 1585496.964501, 2715944.499375, 2486142.189975, 2296203.538931, 2130746.820687, 1993501.506826, 1872010.145362, 1764022.403294, 1670371.913428
0.20, 2574627.239220, 1547260.611662, 2388065.939463, 2224293.816973, 2088731.436937, 1971103.311333, 1866073.561577, 1773753.799656, 1692302.124237, 1614399.031913
0.30, 2259596.241996, 1515494.544081, 2133371.922809, 2030279.913660, 1925877.704438, 1844162.606971, 1762455.230212, 1691837.177117, 1627945.534281, 1570154.994288
0.40, 2035576.502630, 1486078.001034, 1947758.978618, 1870191.711935, 1793134.251410, 1734591.592210, 1677045.379817, 1624977.586656, 1571901.250819, 1526566.491659
0.50, 1852683.479073, 1459022.597868, 1795243.499562, 1737859.971573, 1683722.110245, 1636492.054609, 1595628.878136, 1557425.671855, 1524794.507864, 1488774.283373
0.60, 1708427.624657, 1432933.670454, 1660863.709673, 1627507.744115, 1594877.356281, 1562262.333548, 1530941.291956, 1505567.115130, 1476259.066710, 1453412.788541
0.70, 1582951.091885, 1407912.539327, 1552289.261225, 1536297.065874, 1507381.990562, 1484578.561236, 1466180.164101, 1449388.945670, 1434664.680630, 1419979.126655

"Memory Latency: 200,400 Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 100%, hit 20%, hit 30%, hit 40%, hit 50%, hit 60%, hit 70%, hit 80%, hit 90%
0.10, 4534628.604693, 2478935.021574, 4040863.932384, 3670768.815985, 3380215.568717, 3144188.952243, 2954635.601377, 2800092.402001, 2669483.934628, 2558411.042259
0.20, 3788482.522215, 2335547.372578, 3431837.492101, 3191472.858892, 2989327.726708, 2812611.906703, 2679055.557035, 2562079.127115, 2469469.264541, 2389653.622622
0.30, 3263324.906314, 2234570.658645, 3023642.600626, 2827335.922268, 2696572.005253, 2564009.094410, 2477997.298476, 2383346.403006, 2316597.912144, 2260933.204060
0.40, 2919579.970206, 2188364.838560, 2725616.476173, 2610885.879803, 2502693.233331, 2402412.777404, 2334258.137538, 2275167.134491, 2233349.488866, 2199880.968534
0.50, 2607108.759730, 2145035.095926, 2486532.562079, 2407825.961797, 2326864.787924, 2258470.230267, 2208131.708610, 2170885.039458, 2144593.355842, 2130197.952193
0.60, 2400015.830065, 2098914.850966, 2304890.654866, 2250558.807629, 2183009.900236, 2136028.588366, 2113494.416218, 2080901.237967, 2069990.831161, 2074549.619722
0.70, 2244943.141623, 2055290.578109, 2168688.238093, 2110404.849819, 2065954.949847, 2046815.466156, 2024542.431101, 2007391.039591, 2009194.420232, 2017715.979242
