CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000170, , , 
70, 0.000229, , , 
100, 0.000298, , , 
200, 0.000533, , , 
400, 0.001004, , , 
800, 0.001941, , , 
2000, 0.004748, , , 
4000, 0.009456, , , 
8000, 0.018888, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000356, , , 
70, 0.000474, , , 
100, 0.000616, , , 
200, 0.001089, , , 
400, 0.002050, , , 
800, 0.003952, , , 
2000, 0.009706, , , 
4000, 0.019212, , , 
8000, 0.038203, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000759, , , 
70, 0.000995, , , 
100, 0.001288, , , 
200, 0.002251, , , 
400, 0.004208, , , 
800, 0.008073, , , 
2000, 0.019769, , , 
4000, 0.039036, , , 
8000, 0.078031, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.001677, , , 
70, 0.002185, , , 
100, 0.002801, , , 
200, 0.004852, , , 
400, 0.008965, , , 
800, 0.017183, , , 
2000, 0.041774, , , 
4000, 0.083028, , , 
8000, 0.165171, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.003771, , , 
70, 0.004871, , , 
100, 0.006218, , , 
200, 0.010682, , , 
400, 0.019632, , , 
800, 0.037532, , , 
2000, 0.091185, , , 
4000, 0.180984, , , 
8000, 0.359242, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.008432, , , 
70, 0.010923, , , 
100, 0.013959, , , 
200, 0.023985, , , 
400, 0.044132, , , 
800, 0.084469, , , 
2000, 0.205091, , , 
4000, 0.406443, , , 
8000, 0.808469, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.019224, , , 
70, 0.025194, , , 
100, 0.032478, , , 
200, 0.056638, , , 
400, 0.105007, , , 
800, 0.201985, , , 
2000, 0.492595, , , 
4000, 0.977864, , , 
8000, 1.944886, , , 
