
"RTB Lookup rate (ops/sec) - x86_32_sft.txt"

"Distribution: Uniform"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 4721576.26695467, 4446787.531183, 4713980.70470367
0.60, 3976412.66433833, 4140208.25833233, 4280199.163385
0.90, 2857042.53592333, 3307125.097518, 3718047.78134633

"Distribution: Zipf=0.99"
"Load Factor / Hit Rate", hit 10%, hit 50%, hit 90%
0.20, 6292004.60815333, 5775673.201924, 6093921.78369833
0.60, 5146514.41351433, 5170855.41977667, 5618431.78736267
0.90, 3626096.80350233, 3913601.27439667, 4784926.428172
