
"RTB Lookup rate (ops/sec) - arm_32_accx.txt"

"Memory Latency: 085,106 Distribution: Uniform"
"Load Factor / Hit Rate", hit 90%
0.05, 73914067.773749
0.10, 64321615.848121
0.15, 64323160.645723
0.20, 59249254.867159
0.25, 54351124.314668
0.30, 50063746.576082
0.35, 46357839.748843
0.40, 43167727.503281
0.45, 40379094.414028
0.50, 35774606.894099
0.55, 35776337.796566
0.60, 32111111.765890
0.65, 27824139.578356
0.70, 23620689.271275
0.75, 18142091.903180
0.80, 15841917.293515
0.85, 11481397.015316
0.90, 9134131.764705

"Memory Latency: 200,400 Distribution: Uniform"
"Load Factor / Hit Rate", hit 90%
0.05, 32921855.038872
0.10, 30102116.735602
0.15, 30106967.315060
0.20, 28866933.474263
0.25, 27688947.842929
0.30, 26606648.278822
0.35, 25603366.740863
0.40, 24674203.259596
0.45, 23810263.748406
0.50, 22232655.080718
0.55, 22231416.598416
0.60, 20821482.205625
0.65, 19031639.563290
0.70, 17178171.503008
0.75, 14196552.174596
0.80, 12870314.873126
0.85, 9996490.172297
0.90, 8237854.601978
