CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000237, , , 
70, 0.000308, , , 
100, 0.000393, , , 
200, 0.000675, , , 
400, 0.001239, , , 
800, 0.002369, , , 
2000, 0.005750, , , 
4000, 0.011388, , , 
8000, 0.022672, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000474, , , 
70, 0.000615, , , 
100, 0.000785, , , 
200, 0.001347, , , 
400, 0.002473, , , 
800, 0.004726, , , 
2000, 0.011480, , , 
4000, 0.022730, , , 
8000, 0.045216, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.000942, , , 
70, 0.001219, , , 
100, 0.001552, , , 
200, 0.002660, , , 
400, 0.004877, , , 
800, 0.009310, , , 
2000, 0.022619, , , 
4000, 0.044836, , , 
8000, 0.089099, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.001907, , , 
70, 0.002465, , , 
100, 0.003138, , , 
200, 0.005375, , , 
400, 0.009863, , , 
800, 0.018843, , , 
2000, 0.045775, , , 
4000, 0.090745, , , 
8000, 0.180513, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.003938, , , 
70, 0.005092, , , 
100, 0.006481, , , 
200, 0.011132, , , 
400, 0.020449, , , 
800, 0.039116, , , 
2000, 0.095094, , , 
4000, 0.188570, , , 
8000, 0.374369, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.008480, , , 
70, 0.010992, , , 
100, 0.014093, , , 
200, 0.024347, , , 
400, 0.044934, , , 
800, 0.086157, , , 
2000, 0.209234, , , 
4000, 0.415207, , , 
8000, 0.826397, , , 
CONFIG:STOCK

SPMV
Latency, R:W 1:1, R:W 1:2, R:W 1:4, R:W 1:8
45, 0.019598, , , 
70, 0.025743, , , 
100, 0.033255, , , 
200, 0.058239, , , 
400, 0.108353, , , 
800, 0.208401, , , 
2000, 0.507996, , , 
4000, 1.007938, , , 
8000, 2.008423, , , 
